Quelle est l'observation principale de l'expérience de Gerstedt (1820) ?,Un fil conducteur parcouru par un courant dévie l'aiguille aimantée d'une boussole.
"Selon Ampère, quelle forme ont les « lignes de champ magnétique » autour d'un fil conducteur ?",Des cercles centrés sur le fil.
Quel physicien a découvert l'induction électromagnétique en 1831 ?,Faraday.
En quoi consiste l'inversion de l'expérience de Gerstedt réalisée par Faraday ?,Le mouvement d'un aimant à proximité d'un conducteur génère une tension électrique.
"Dans le phénomène d'induction, qu'appelle-t-on l'« inducteur » ?",L'élément qui crée le champ magnétique (aimant droit ou bobine conductrice).
"Dans le phénomène d'induction, qu'appelle-t-on l'« induit » ?",Le conducteur dans lequel la tension apparaît.
Quelle condition sur le champ magnétique est nécessaire pour qu'une tension apparaisse dans un conducteur ?,Le champ magnétique doit être variable.
Quelle est la conséquence directe de la tension induite dans un conducteur ?,Elle est à l'origine d'un courant induit parcourant le conducteur.
Quels sont les trois critères nécessaires pour produire de l'énergie par induction ?,"Un induit, un inducteur, et un champ magnétique variable."
En quelle année Maxwell a-t-il formalisé l'ensemble des phénomènes électromagnétiques ?,1864.
Quels domaines de la physique la théorie de Maxwell rassemble-t-elle ?,"L'optique, la radio, l'électricité et le magnétisme."
Quelle est la formule de l'équation de Maxwell-Gauss ?,$\text{div } \vec{E} = \frac{\rho}{\epsilon_0}$
Quelle est la formule de l'équation de Maxwell-Faraday ?,$\text{rot } \vec{E} = - \frac{\partial \vec{B}}{\partial t}$
Quelle est la formule de l'équation de Maxwell-Ampère ?,$\text{rot } \vec{B} = \mu_0 (\vec{j} + \epsilon_0 \frac{\partial \vec{E}}{\partial t})$
À quelle vitesse se déplacent les ondes électromagnétiques introduites par Maxwell ?,À la vitesse de la lumière.
Quelle est la fonction principale d'une dynamo ?,Convertir l'énergie cinétique de rotation en énergie électrique continue.
Citez trois inventeurs associés au développement de la dynamo entre 1866 et 1873.,"Siemens, Wilde et Gramme."
"Dans une dynamo, quel élément permet de récupérer le courant ?",Les frotteurs.
